Abandon;TERK ETMEK
Control;KONTROL ETMEK, YÖNETMEK
Convenience;UYGUNLUK, KOLAYLIK
Convenient;ELVERİŞLİ, UYGUN
Conversation;SÖYLEŞİ
Convict;MAHKUM,SUÇLU
Convince;İKNA ETMEK
Cook;1.AŞÇI 2.YEMEK PİŞİRMEK
Cool;1.SERİN 2.SERİNLETMEK, SOĞUTMAK
Co-Operate;BİRLİKTE ÇALIŞMAK
Cop;POLİS
Cope;BAŞA ÇIKMAK,AYAK UYDURMAK
Copper;BAKIR
Copy;KOPYALAMAK, TAKLİT ETMEK
Cordon;1)POLİS 2)ASKER KORDONU
Cork;MANTAR ,(Cork-screw :mantar açacağı)
Corn;1. EKİN, MISIR 2.NASIR (tread on someone~s corns)
Corner;KÖŞE
Corpse;CESET
Correct;1.HATASIZ  2.DÜZELTMEK
Correspondent;1)MEKTUPLAŞAN,MEKTUBA CEVAP VEREN 2)MUHABİR
Corridor;KORİDOR
Corruption;RÜŞVETÇİLİK,YOLSUZLUK
Cosmetic;KOZMETİK
Cost;MALİYET,  MAL OLMAK
Costly;PAHALI
Costume;KOSTÜM
Cottage;KÖY EVİ
Cotton;PAMUK
Cough;ÖKSÜRMEK
Council;KONSEY
Count;SAYMAK
Country;1.ÜLKE  2.KIRLIK ALAN
Coupe;SPOR ARABA
Couple;1.ÇİFT (karı-koca v.b)  2.BİR KAÇ
Coupon;KUPON
Courage;CESARET
Course;1.GİDİŞAT  2.KURS
Court;1.MAHKEME  2.KORT
Cousin;KUZEN
Cover;KAPLAMAK
Cow;İNEK
Coward;KORKAK
Crack;KIRMAK
Cracker;KRAKER
Cramp;KRAMP
Crane;VİNÇ İLE KALDIRMAK, VİNÇ
Crash;ÇARPIŞMAK (sertçe), ÇARPIŞTIRMAK
Crazy;ÇILGIN
Cream;1.KREMA  2.KREM  3.KİRLİ BEYAZ
Creation;YARATIŞ
Creature;YARATIK
Credit;KREDİ
Crime;SUÇ
Criminal;SUÇLU (yasa önünde)
Crisis;KRİZ
Crisp;CİBS,KIZARMIŞ KURU PATATES
Crisp;1)İNCE 2)KAŞ
Critical;KRİTİK
Criticize;ELEŞTİRMEK
Crocodile;AFRİKA TİMSAHI
Crop;ÜRÜN (toprak ürünü)
Cross;1.KARŞIDAN KARŞIYA GEÇMEK,ÇAPRAZLAMA GİTMEK 2.HAÇ
Crossing;GEÇİT
Crossroads;KAVŞAK
Crossword;ÇAPRAZ BULMACA
Crow;1)KARGA 2)HOROZ ÖTÜŞÜ
Crowd;KALABALIK
Crown;TAÇ
Crucial;EN ÖNEMLİ AN (Karar iρin vb.)
Crude;PETROL  ( Crude oil=Ham petrol)
Cruel;ZALİM
Cruise;1.DENİZ GEZİSİ  2.KITALARARASI SİLAH
Crush;KIRMAK (basarak)
Cry;BAĞIRMAK, AĞLAMAK
Cube;KÜP
Cucumber;HIYAR
Cultivate;TOPRAKLA UĞRAŞMAK
Culture;KÜLTÜR
Cup;1.FİNCAN  2.KUPA
Cure;İYİLEŞTİRMEK, TEDAVİ, İŞLEM
Curiosity;MERAK
Curious;1.MERAKLI 2.OLAĞANDIŞI
Curl;KIVIRMAK
Current;1.AKIM 2.CARİ 3.KUR
Curry;HAFİF ACILI
Curse;LANET
Curtain;PERDE
Curve;EĞRİ
Cushion;YASTIK
Custom;GELENEK
Customer;ALICI, MÜŞTERİ
Customs;GÜMRÜK
Cut;KESMEK
Cycle;BİSİKLET, TUR
Cylinder;SİLİNDİR
Dad;BABA
Daily;GÜNLÜK
Daisy;PAPATYA
Dam;BARAJ
Damage;ZARAR, ZARAR VERMEK
Damp;NEMLİ
Dance;DANS
Danger;TEHLİKE
Dangerous;TEHLİKELİ
Dare;1.CESARETLİ OLMAK,CÜRET GÖSTERMEK 2.MEYDAN OKUMAK
Dark;1.KARANLIK 2.KOYU 3.SİYAH TENLİ
Darling;SEVGİLİ
Dash;1.FIRLAMAK ANİDEN KOŞMAK  2.-işareti
Date;GÜNÜN TARİHİ
Date;1)HURMA 2)RANDEVU
Daughter;KIZ ÇOCUK
Day;GÜN
Dead;ÖLÜ
Deadline;MÜHLET,SON TESLİM TARİHİ
Deadlock;1)ÇIKMAZ 2)AÇMAZ
Deaf;SAĞIR
Deal;ALIP SATMAK (ticari), İŞ YAPMAK
Dear;1.SEVGİLİ, SEVİLEN  2.PAHALI
Death;ÖLÜM
Debatable;TARTIŞABİLİNİR
Debate;TARTIŞMA
Debt;BORÇ
Decay;ÇÜRÜMEK,BOZULMAK
Deceive;KANDIRMAK
December;ARALIK (ayı)
Decent;DOĞRU,HAKLI,İYİ
Decide;KARAR VERMEK
Decision;KARAR
Declare;AÇIKLAMAK
Decline;AZALTMAK,GERİLEMEK,DÜŞMEK
Decorate;DÖŞEMEK, DEKORE ETMEK
Decrease;AZALMAK
Deed;1.EYLEM  2.TAPU
Deep;DERİN
Deer;GEYİK
Default;İFA ETMEME,HAZIR BULUNMAMA(Default Payment=Ödememe)
Defeat;KAYBETMEK (oyunda,savaşta,vs.)
Defence;SAVUNMA, DEFANS
Defend;SAVUNMAK
Defer;GECİKTİRME, ERTELEME
Deficit;AÇIK (budget deficit=bütçe açığı)
Definite;KESİN, BELİRLİ
Definition;TANIMLAMA
Degree;DERECE
Delay;GECİKTİRMEK, ERTELEMEK
Deliberately;KASTEN
Delicate;NAZİK
Delicious;LEZZETLİ
Delight;HOŞNUTLUK
Delightful;HOŞNUT EDİCİ
Deliver;DAĞITMAK, DAĞITIM
Demand;İSTEK, TALEP, İHTİYAÇ
Demolish;YIKMAK, PARÇALAMAK
Demonstrate;AÇIKÇA GÖSTERMEK, DEMONSTRE ETMEK
Demonstration;GÖSTERİ
Demoralize;CESARETİNİ KIRMAK, MORAL BOZMAK
Dentist;DİŞÇİ
Deny;İNKAR ETMEK, YALANLAMAK
Depart;AYRILMAK
Department;BÖLÜM;DEPARTMAN
Depend;BAĞIMLI OLMAK, İHTİYACI OLMAK
Dependent;BAĞIMLI (In dependent:bağımsız)
Deposit;DEPOZİT
Depress;BUNALTMAK
Depth;DERİNLİK
Deputation;VEKİLLİK
Deputy;VEKİL
Describe;TANIMLAMAK, BETİMLEMEK
Desert;1.ÇÖL 2.TERK ETMEK(haksız yere)
Deserve;HAKKETMEK, LAYIK OLMAK
Design;DİZAYN
Desire;ARZU
Desk; SIRA,MASA
Despair;ÜMİTSİZLİK
Desperate;UMUTSUZ, ÇOK CİDDİ
Despite;RAĞMEN
Dessert;TATLI (yiyecek)
Destination;VARIŞ NOKTASI
Destroy;YIKMAK
Destruction;YIKIM
Detach;AYIRMAK
Detail;AYRINTI, DETAY
Detective;DEDEKTİF
Determined;AZİMLİ
Develop;GELİŞMEK, BÜYÜMEK, RESİM BASMAK
Development;GELİŞME
Devil;ŞEYTAN
Dew;KIRAĞI (nem)
Diagram;ŞEMA, DİYAGRAM
Dial;1.GÖSTERGE 2.TELEFON ETMEK
Diameter;ÇAP
Diamond;1.ELMAS 2.KARO (kağıt oyunlarında)
Diary;GÜNLÜK, AJANDA
Dice;ZARLAR ( Tavla )
Dictator;DİKTATÖR
Dictionary;SÖZLÜK
Die;ÖLMEK
Diet;REJİM, DİYET
Difference;AYIRIM, FARK
Different;FARKLI
Difficult;ZOR
Dig;KAZMAK
Digest;1)HAZM ETMEK2)OLAYI KAVRAMAK 3)ÖZET,ANA FELSEFE,KURA
Dim;KISIK, SÖNÜK
Dinner;AKŞAM YEMEĞİ
Dip;DALDIRMAK
Diploma;DİPLOMA
Diplomat;DİPLOMAT
Direct;1.DİREKT 2.YÖNLENDİRMEK, YOL VERMEK
Direction;YÖN
Director;DİREKTÖR
Directory;REHBER (telefon vb.)
Dirt;KİR
Dirty;KİRLİ
Disadvantage;DEZAVANTAJ
Disagree;ANLAŞAMAMAK, UYUŞMAMAK
Disappear;GÖZDEN KAYBOLMAK
Disappoint;HAYAL KIRIKLIĞINA UĞRAMAK
Disaster;FELAKET, AFET
Disc;DİSK
Discipline;DİSİPLİN
Disc-Jockey;DİSCOKEY
Disclose;AÇIĞA, MEYDANA ÇIKARMAK, BİLİNMESİNİ SAĞLAMAK
Disco;DİSKO
Discover;KEŞFETMEK
Discuss;TARTIŞMAK
Disease;HASTALIK
Disgust;TİKSİNTİ
Dish;1.TABAK ÇANAK,BULAŞIK 2.ÖZEL YEMEK
Dismay;1)SÜPRİZ 2)ÜZÜNTÜ
Dismay;KORKU, DEHŞET
Dismiss;KOVMAK, YOL VERMEK, SAL VERMEK
Disobey;İTAAT ETMEMEK
Dispatch;SEVK ETMEK, YOLLAMAK
Displace;YERİNDEN ÇIKARMAK (Kuvvet etkisi ile)
Display;GÖSTERMEK
Dispose;ATMAK, BIRAKMAK, ORTAYA ÇIKARMAK
Dispute;ANLAŞMAZLIK
Distance;UZAKLIK
Distant;UZAK
Distinct;AÇIK, ÖZEL, FARKLI
Distinction;KÜÇÜK FARKLILIK
Distinguish;AYIRT ETME ( bir özelliğinden dolayı )
Distribute;DAĞITMAK
District;BÖLGE (toprak,ülke)
Disturb;RAHATSIZ ETMEK
Dive;DALIŞ
Diver;DALGIÇ
Divide;BÖLMEK, PAYLAŞTIRMAK
Division;BÖLÜM
Divorce;BOŞANMAK
Dizzy;BAŞ DÖNMESİ
Do;YAPMAK
Dock;1.TERSANE(gemi) 2.SANIK İSKEMLESİ 3.DOK
Doctor;DOKTOR
Document;DOKÜMAN
Dog;KÖPEK
Doll;OYUNCAK BEBEK
Domestic;EVCİL, EVE AİT, İÇSEL
Dominate;HAKİM OLMA
Donate;BAĞIŞ YAPMAK
Donation;BAĞIŞ
Donkey;EŞEK
Donor;BAĞIŞ YAPAN,İYİLİK SEVER (organ, okul bağışı vb.)
Doom;KÖTÜ KADER,KÖR TALİH
Doomsday;AHİRET GÜNÜ
Door;KAPI
Dose;BİR SEFERDE ALINAN İLAÇ MİKTARI
Double;ÇİFT
Doubt;1.ŞÜPHE 2.EMİN OLMAMAK
Down;AŞAĞISI
Down Payment;PEŞİN (Ödeme)
Doze;UYUKLAMAK, HAFİF UYKU
Dozen;DÜZİNE
Draft;1)SURET, MÜSVEDDE 2)BANKA ÇEKİ, ÖDEME EMRİ
Drag;SÜRÜKLEMEK
Dragon;EJDERHA
Drain;LAĞIM, SU YOLU
Drama;DRAM
Draught;HAVA AKIMI, CERYAN
Draughts;DAMA OYUNU
Draw;1.ÇİZMEK (resim) 2.ÇEKMEK (çekmece)
Drawer;ÇEKMECE, GÖZ
Drawn;BOĞULMAK
Dreadful;KORKUNÇ, KÖTÜ
Dreadfully;ÇOK
Dream;DÜŞ, HAYAL, RÜYA, RÜYA GÖRMEK
Dress;1.GİYSİ  2.GİYİNMEK
Drill;1.DELMEK  2.(tekrar tekrar) ÖĞRETMEK
Drink;İÇMEK
Drive;ARABA KULLANMAK, SÜRMEK
Drop;1.DÜŞÜRMEK, DÜŞMEK, BIRAKMAK  2.DAMLA
Drug;İLAÇ, UYUŞTURUCU
Drug;UYUŞTURUCU MADDE,İLAÇ
Drum;1)DAVUL 2)MAKARA 3)VARİL, BİDON
Drunk;SARHOŞ
Dry;1.KURU 2.KURUMAK
Duck;1)ÖRDEK 2)BAŞINI EĞMEK
Duckling;KÜÇÜK ÖRDEK
Due;KADAR, VADE( borç )
Duel;DÜELLO
Dull;1.APTAL 2.KAPALI,SIKICI
Dust;TOZ
Dustbin;ÇÖP TENEKESİ
Duty;1.GÖREV  2.GÜMRÜK VERGİSİ
Dye;BOYA, BOYAMAK (Saç,kağıt vb.)
Dynamite;DİNAMİT
Dynamo;DİNAMO
Dynasty;HANEDANLIK
E.G.;ÖRNEĞİN (kısaltılmışı)
Each;HER, HER BİRİ
Eager;İSTEKLİ
Eagle;KARTAL
Ear;KULAK
Early;ERKEN
Earn;PARA KAZANMAK
Earnest;CİDDİ
Earth;1.DÜNYA  2.TOPRAK  3.TOPRAK PARÇASI
Earthquake;DEPREM
Ease;KOLAYLIK
East;DOĞU
Easy;KOLAY
Eat;YEMEK YEMEK
Echo;EKO, AKİS
Economical;EKONOMİK
Edge;KENAR
Editor;EDİTÖR
Educate;EĞİTİM
Eel;YILAN BALIĞI
Effect;ETKİ
Efficient;ETKİN, İYİ ÇALIŞAN
Effort;EFOR
Egg;YUMURTA
Either.....Or....;YA.....YA.....
Elapse;ZAMANIN GEÇMESİ (3 days have elapsed)
Elastic;ELASTİK
Elbow;DİRSEK
Elder;YAŞLI (daha yaşlı)
Elect;SEÇMEK
Election;SEÇİM
Electricity;ELEKTRİK
Elegant;ŞIK
Elementary;TEMEL, BAŞLANGIÇ İÇİN
Elephant;FİL
Else;DAHA, BAŞKA
Elsewhere;BAŞKA BİR YER
Embark;1)GEMİ YADA UÇAKLA GİTMEK 2)BİRŞEY YAPMAYA BAŞLAMAK
Embarrassment;1)SIKINTI 2)UTANMAK
Embassy;BÜYÜKELÇİLİK
Embrace;SARILMAK
Emerge;ÇIKMAK
Emergency;ACİL DURUM
Emigrate;GÖÇMEN (kendi ülkesinden göçen)
Emotion;KUVVETLİ DUYGU
Emphasis;ÖNEMLİ,ŞİDDETLİ VURGU
Emphasize;ÜZERİNDE DURMAK
Emphatic;KESİNLİKLE,MUTLAK,KESİN(Emphatic victory=Kesin Zafer
Empire;İMPARATORLUK
Employ;ÇALIŞTIRMAK (parayla adam çalıştırmak)
Employee;ÇALIŞTIRILAN ADAM
Employer;İŞVEREN
Employment;İŞ
Empty;BOŞ
Enclose;KAPATMAK, ETRAFINI KAPATMAK
Encourage;CESARETLENDİRMEK
End;SON, BİTİRMEK
Endorsement;TASTİK,ONAY,CIRO
Enemy;DÜŞMAN
Energy;ENERJİ
Engage;1.NİŞANLAMAK  2.İŞ VERMEK
Engine;MAKİNE
Enjoy;EĞLENMEK
Enormous;KOCAMAN, İRİ
Enough;YETER
Enter;GİRMEK
Enterprise;GİRİŞİM
Entertain;AĞIRLAMAK (konukları)
Entertainment;EĞLENCE
Entitle;YETKİ VERMEK, HAK VERMEK
Entrance;GİRİŞ
Envelope;ZARF
Epitaph;MEZAR TAŞI YAZISI
Equal;EŞİT
Equality;EŞİTLİK
Equalize;EŞİTLEMEK
Equip;DONATMAK
Equipment;TESİSAT,DONANIM
Erect;KALDIRMAK
Error;HATA
Escalator;YÜRÜYEN MERDİVEN
Escape;KAÇMAK
Escort;KONVOY,REFAKAT
Especial;ÖZEL, ÖNEMLİ
Essential;TEMEL, ÇOK ÖNEMLİ
Establish;KURMAK ,İNŞA ETMEK
Estate;1) STEYŞIN ARABA 2) MAL, MÜLK, ARSA
Estimate;TAHMİN ETMEK (hesaplayarak)
Evacuate;1)BOŞALTMA,TAHLİYE ETMEK 2)TEHLİKEDEN UZAKLAŞTIRMAK
Even;1.HATTA 2.ÇİFT,BERABERE,DÜZGÜN
Evening;AKŞAM
Event;OLAY
Eventually;SONUNDA, NİHAİ
Ever;HERHANGİ BİR ZAMAN
Every;HER
Evidence;DELİL
Evil;KÖTÜ
Evolution;EVRİM
Ex;SABIK, ESKİ (ex-wife, ex-president, ex-gırl friend)
Exact;TAM
Exactly;KESİN OLARAK
Exaggerate;ABARTMAK
Examine;İNCELEMEK, SINAV VERMEK
Example;ÖRNEK
Exceed;AŞIRI
Excellent;ÇOK İYİ
Except;DIŞINDA, HARİÇ
Exception;İSTİSNA
Exchange;DEĞİŞ TOKUŞ
Excite;HEYECANLANDIRMAK
Exclaim;BAĞIRMAK
Exclude;DIŞLAMAK
Exclusive;UMUMA AÇIK OLMAYAN, BAŞKALARIYLA PAYLAŞILMAYAN
Excuse;1.AFFETMEK  2.MUAF TUTMAK 3.ÖZÜR, MAZERET
Execute;YAPMAK, YERİNE GETİRMEK, İNFAZ ETMEK, İDAM ETMEK
Exercise;EGZERSİZ
Exhaust;1)YORULMA,BİTME 2)EGZOS
Exhibit;TEŞHİR ETMEK, GÖSTERMEK
Exhibition;SERGİ
Exist;OLUŞ, VAR OLMAK
Exit;ÇIKIŞ, ÇIKMAK
Expand;1)BÜYÜMEK,GENİŞLEMEK2)DAHA SAMİMİ VE KONUŞKAN OLMAK
Expansion;1) GENİŞLEME, BÜYÜME 2) GENİŞLEYEN KISIM, EK
Expect;UMMAK,BEKLEMEK
Expense;MASRAF
Expensive;PAHALI
Experience;TECRÜBE
Experiment;DENEY
Expert;BİLİRKİŞİ, UZMAN, EKSPER
Expire;SÜRENİN DOLMASI
Explain;AÇIKLAMAK
Explanation;AÇIKLAMA
Explode;PATLAMAK (bomba patlaması)
Explore;ARAŞTIRMAK (bir yeri)
Explosive;PATLAYICI MADDE
Export;İHRAÇ MALI, İHRACAT
Express;İFADE ETMEK
Expression;İFADE
Extend;GENİŞLETMEK, BÜYÜTMEK
Extension;GENİŞLETME, BÜYÜTME
Extent;BOYUT, BÜYÜKLÜK
Extinguish;IŞIĞI VEYA ATEŞİ SÖNDÜRMEK
Extra;FAZLA, EKSTRA
Extract;ÇEKİP ÇIKARTMAK
Extraordinary;OLAĞANDIŞI
Extreme;SON DERECE, AŞIRI
Eye;GÖZ
Eyebrow;KAŞ
Eyelash;KİRPİK
Eyelid;GÖZ KAPAĞI
Fable;MASAL, EFSANE
Fabulous;HARİKA, İNANILMAZ
Face;1.YÜZ, SURAT 2.KARŞISINA ÇIKMAK, BAŞINA GELMEK
Fact;GERÇEK
Factory;FABRİKA
Fade;SOLMAK
Fail;BAŞARISIZ OLMAK
Failure;BAŞARISIZLIK,ARIZA,YETERSİZLİK(crop or heart faılure
Faint;1.SOLGUN,ZAYIF 2.BAYILMAK
Fair;1.DÜRÜST,ADİL 2.OLDUKÇA İYİ 3.PANAYIR 4.FUAR
Fairly;1.DÜRÜSTÇE 2.EPEYCE
Faith;1.İNANÇ  2.GÜVENMEK
Faithful;GÜVENİLİR, SADIK
Fake;TAKLİT, SAHTE
Fall;1.DÜŞMEK  2.SONBAHAR (AmE)
False;1.YANLIŞ, HATALI 2.SAHTE
Fame;ŞÖHRET, ÜN
Familiar;TANIDIK, BİLDİK
Family;AİLE, FAMİLYA
Famous;ÜNLÜ
Fan;1)HAVA HAREKETİ 2)TARAFTAR
Fanatic;FANATİK
Fancy;1)HAYAL KURMA 2)HOŞ ZEVKLİ 3)FANTAZİ
Fantastic;HARİKA, OLAĞANDIŞI
Far;UZAK
Fare;ÜCRET (tren,vapur vb. için)
Farm;ÇİFTLİK
Farther;DAHA UZAK
Fashion;MODA
Fast;HIZLI
Fasten;BAĞLAMAK
Fat;1.ŞİŞMAN 2.YAĞ (vücut et yağı)
Fate;KADER
Father;BABA
Fault;KUSUR
Faultless;KUSURSUZ
Faulty;KUSURLU
Favour;LEHİNDE, TARAF TUTMAK
Favourable;İYİ, YARDIMCI
Favourite;EN SEVİLEN, FAVORİ
Fear;KORKU
Fearful;KORKUTUCU
Feather;TÜY (kuş tüyü)
Feature;ÖZELLİK
February;ŞUBAT
Fed Up;BIKMAK (I'm fed up:Bıktım)
Federal;FEDERAL, FEDERE, GRUP İÇİNDE BİRLEŞMİŞ
Fee;HARÇ, ÜCRET (okul, avukat, doktor v.b)
Feed;BESLEMEK
Feel;HİSSETMEK
Fellow;ARKADAŞ (kendisine benzeyen), ADAM
Female;DİŞİ
Fence;ÇİT
Ferry;FERİBOT, ARABA VAPURU
Fertile;1)GÜBRE 2)ÜRETKEN
Fertilize;1)GÜBRELEME 2)DÖLLENME (Bees fertilize the flowers)
Festival;FESTİVAL
Fetch;GİDİP GETİRMEK
Fever;ATEŞ (vücut)
Few;AZ, BİR KAÇ
Fiance;NİŞANLI
Fiction;KURGU (roman)
Field;ALAN
Fig;1)İNCİR 2)ÇOK ÖNEMSİZ KONU
Fight;KAVGA, KAVGA ETMEK
Figure;1.SAYI 2.ŞEKİL, VÜCUT
File;1.DOSYA 2.TÖRPÜ 3.SIRA
Fill;DOLDURMAK
Film;FİLM
Final;SON
Finally;SONUNDA
Finance;FİNANS
Find;BULMAK
Fine;1.İYİ, İNCE, KÜÇÜK  2.PARA CEZASI
Finger;PARMAK
Finish;BİTİM, BİTMEK
Fire;1.YANGIN, ATEŞ ETMEK, ATEŞ 2.İŞTEN KOVMAK
Fire-Brigade;İTFAİYE
Firm;1.SERT 2.FİRMA
First;BİRİNCİ, İLK
Fiscal;DEVLETİN,PARA,VERGİ,BORÇ İLE İLİŞKİLİ (Fiscal year)
Fish;BALIK
Fist;YUMRUK
Fit;1.UYMAK, UYGUN  2.ANİ HASTALIK
Fix;YAPIŞTIRMAK, TAMİR ETMEK, SABİT
Flag;BAYRAK
Flake;TANE (snowflake : kar tanesi)
Flame;ALEV
Flash;FLAŞ
Flat;1.DÜZ  2.DAİRE (apartman katı)
Flavour;TAT
Flea;PİRE
Flee;KAÇMAK
Fleet;FİLO (gemi vb.)
Flesh;ET (derinin altındaki)
Flight;UÇUŞ
Flipper;1) YÜZME PALETİ, 2) YÜZGEÇ
Float;YÜZMEK, BATMAMAK (mantar)
Flock;SÜRÜ
Flood;SEL
Floor;YAPININ TABANI, KAT
Florist;ÇİÇEKÇİ, ÇİÇEK YETİŞTİREN KİMSE
Flour;UN
Flower;ÇİÇEK
Fluent;AKICI
Fly;1.UÇMAK  2.SİNEK
Foam;KÖPÜK
Foam Rubber;SÜNGER
Fog;SİS
Fold;KATLAMAK
Folk;HALK
Follow;İZLEMEK, TAKİP ETMEK
Fond;HOŞLANMAK, MEMNUN OLMAK
Food;YİYECEK, BESİN
Fool;1.APTAL  2.APTALCA DAVRANMAK  3.KANDIRMAK
Foolish;APTALCA
Foot;AYAK
Football;FUTBOL
Footprint;AYAK İZİ
For;İÇİN
Forbid;YASAKLAMAK
Force;ZORLAMAK, ZOR, FORS
Forecast;TAHMİN
Forehead;ALIN
Foreign;YABANCI (ülke veya ırk)
Foreman;USTABAŞI, FORMEN
Forest;ORMAN
Forever;DEVAMLI OLARAK
Forge;1)SAHTESİNİ YAPMAK 2)DEMİR METALE ŞEKİL VERMEK
Forger;ÜÇKAĞITÇI,TAKLİTÇİ
Forget;UNUTMAK
Forgive;BAĞIŞLAMAK, AFFETMEK
Fork;ÇATAL
Form;ŞEKİL, ŞEKİLLENDİRMEK, FORM
Formal;RESMİ, CİDDİ
Former;ÖNCEKİ ZAMAN
Forthwith;DERHAL, HEMEN
Fortnight;İKİ HAFTA, ONDÖRT GÜN
Fortune;1.SERVET  2.ALIN YAZISI 3.TALİH
Forward;İLERİ
Foul;PİS, KİRLİ
Found;İNŞA ETMEK VEYA BAŞLAMAK
Foundation;1.TEMEL 2.VAKIF
Fountain;FISKİYE
Fountain-Pen;DOLMA KALEM
Fox;TİLKİ
Fragile;KOLAY KIRILABİR
Frame;ÇERÇEVE
Frank;AÇIK SÖZLÜ, SAMİMİ
Free;ÖZGÜR, RAHAT, SERBEST, SERBEST BIRAKMAK
Free;BEDAVA, ÜCRETSİZ
Freedom;ÖZGÜRLÜK
Freeze;DONMAK
Freight;HAMULE, NAVLUN
Fresh;TAZE
Friday;CUMA
Fridge;BUZDOLABI
Friend;ARKADAŞ
Friendly;DOSTÇA
Fright;KORKU
Frighten;KORKUTMAK
Frog;KURBAĞA
From;(...DEN,  ...DAN) EKİ
Front;ÖN
Frontier;SINIR
Frown;KAŞINI ÇATMAK,MEMNUN OLMAMAK
Fruit;MEYVE
Fry;KIZARTMAK
Fugitive;KANUN KAÇAĞI
Full;DOLU, TAMAMEN
Full Stop;NOKTA
Fun;EĞLENCE
Fund;FON, KULLANABİLİNİR MALİ KAYNAK
Fundamental;TEMEL, ÖNEM, ÇOK GEREKLİ
Funeral;CENAZE
Funny;1.KOMİK  2.GARİP
Fur;KÜRK
Furnish;DÖŞEMEK
Further;DAHA
Furthermore;YANINDA, AYRICA, ÜSTELİK (=moreover)
Fuse;SİGORTA (elektrik vb.)
Fuss;TELAŞ, TELAŞLANMAK
Future;GELECEK
Gain;KAZANMAK
Gallery;GALERİ
Gamble;KUMAR OYNAMAK, KUMAR
Game;OYUN
Gang;ÇETE
Gaol;HAPİSHANE
Gap;BOŞLUK, FARK
Garage;GARAJ
Garden;BAHÇE
Garlic;SARIMSAK
Gas;GAZ
Gate;BAHÇE KAPISI
Gather;1.TOPARLAMAK, TOPLANMAK 2.ANLAMAK
Gay;1)MUTLU, PARLAK, ÇOK RENKLİ 2)HOMO
Gear;VİTES
General;GENERAL
General;GENEL
Generally;GENELLİKLE
Generous;CÖMERT
Genius;DAHİ
Gentle;NAZİK
Gentleman;CENTİLMEN
Germ;MİKROP
Get;1.ALMAK 2.ELDE ETMEK 3.ANLAMAK
Ghost;HAYALET,HORTLAK
Gift;1.ARMAĞAN  2.YETENEK
Gigolo;JİGOLO
Ginger;ZENCEFİL, HAFİF KAHVERENGİ
Gipsy;ÇİNGENE
Girl;KIZ
Give;VERMEK
Glad;MEMNUN
Gladly;ZEVKLE
Glass;CAM, BARDAK
Globe;KÜRE, DÜNYA
Glorious;PARLAK, ONURLU (parlak tarih)
Glory;ONUR, HEYECAN, GÜZELLİK
Glove;ELDİVEN
Glue;YAPIŞTIRICI
Go;GİTMEK
Goal;HEDEF, GAYE, GOL
Goat;KEÇİ
God;TANRI
Gold;ALTIN
Golden;ALTINDAN
Goldfish;AKVARYUM BALIĞI
Good;1.İYİ 2.DEVAMLI ( uzun periyot )
Good-Looking;İYİ GÖRÜNÜMLÜ, YAKIŞIKLI
Goose;KAZ
Gosh;HAYRET!...
Gossip;DEDİKODU YAPMAK, DEDİKODU
Govern;YÖNETMEK, HÜKMETMEK
Government;HÜKÜMET
Graduate;MEZUN (üniversite mezunu)
Grain;TANECİK ( kum,buğday v.s.)
Grand;BÜYÜK, ZEVKLİ
Grape;ÜZÜM
Grapefruit;GREYFURT
Grasp;SIKICA TUTMAK
Grass;1.OT, ÇİM 2.MUHBİR ,İSPİYONCU
Grateful;MİNNETTAR
Grave;1.MEZAR 2.KÖTÜ, ÖNEMLİ
Gravestone;MEZARTAŞI
Graveyard;MEZARLIK, MEZAR
Great;BÜYÜK, ÇOK, ÇOK İYİ
Green;1. YEŞİL 2.TECRÜBESİZ ,TOY
Greengrocer;MANAV
Greeting;KUTLAMA
Grey;GRİ
Grill;GRİL
Grip;SIKICA TUTMAK
Grocer;BAKKAL
Groom;DAMAT
Ground;YER, TOPRAK
Group;GURUP, TOPLULUK
Grow;BÜYÜMEK, YETİŞMEK
Grumble;SIZLANMAK,YAKINMAK
Guarantee;GARANTİ
Guard;KORUMAK
Guerrilla;GERİLLA
Guess;TAHMİN ETMEK
Guest;KONUK
Guide;REHBER, REHBERLİK ETMEK
Guided Missile;yl  GÜDÜMLÜ ROKET
Guilt;SUÇ, KABAHAT
Guitar;GİTAR
Gulf;KÖRFEZ
Gum;1.YAPIŞKAN 2.DİŞ ETİ
Gun;SİLAH
Guy;ADAM
Habit;ALIŞKANLIK
Habitat;DOĞAL YUVA (hayvan, bitki vb. yaşadığı yer)
Hail;DOLU (yağış)
Hair;1.SAÇ  2.HAYVAN TÜYÜ
Hairdresser;KUVAFÖR, BERBER
Hairdryer;SAÇ KURUTMA MAKİNASI
Half;YARIM
Hall;HOL
Halt;DUR
Ham;DOMUZ AYAĞINDAKİ ET
Hammer;ÇEKİÇ, ÇEKİÇLEMEK
Hand;EL
Hand Grenade;EL BOMBASI
Handbag;EL ÇANTASI (kadınların)
Handicap;SAKAT
Handkerchief;MENDİL
Handle;1.TUTACAK 2.ELİNDEN GELMEK, YAPABİLMEK 3.ELLEMEK
Handsome;YAKIŞIKLI
Handwriting;EL YAZISI
Hang;ASMAK
Hang On;BEKLE
Hangar;HANGAR
Happen;OLMAK
Happy;MUTLU
Harbour;LİMAN
Hard;SERT, ZOR, BELALI, KÖTÜ
Hardly;ZORLA, İYİ DEĞİL
Harm;ZARAR,KÖTÜLÜK
Harmful;ZARARLI
Harvest;HASAT
