TERK ETMEK;Abandon
UYGUNLUK, KOLAYLIK;Convenience
ELVERİŞLİ, UYGUN;Convenient
SÖYLEŞİ;Conversation
MAHKUM,SUÇLU;Convict
İKNA ETMEK;Convince
1.AŞÇI 2.YEMEK PİŞİRMEK;Cook
1.SERİN 2.SERİNLETMEK, SOĞUTMAK;Cool
BİRLİKTE ÇALIŞMAK;Co-Operate
POLİS;Cop
BAŞA ÇIKMAK,AYAK UYDURMAK;Cope
BAKIR;Copper
KOPYALAMAK, TAKLİT ETMEK;Copy
1)POLİS 2)ASKER KORDONU;Cordon
MANTAR ,(Cork-screw :mantar açacağı);Cork
1. EKİN, MISIR 2.NASIR (tread on someone~s corns);Corn
KÖŞE;Corner
CESET;Corpse
1.HATASIZ  2.DÜZELTMEK;Correct
1)MEKTUPLAŞAN,MEKTUBA CEVAP VEREN 2)MUHABİR;Correspondent
KORİDOR;Corridor
RÜŞVETÇİLİK,YOLSUZLUK;Corruption
KOZMETİK;Cosmetic
MALİYET,  MAL OLMAK;Cost
PAHALI;Costly
KOSTÜM;Costume
KÖY EVİ;Cottage
PAMUK;Cotton
ÖKSÜRMEK;Cough
KONSEY;Council
SAYMAK;Count
1.ÜLKE  2.KIRLIK ALAN;Country
SPOR ARABA;Coupe
1.ÇİFT (karı-koca v.b)  2.BİR KAÇ;Couple
KUPON;Coupon
CESARET;Courage
1.GİDİŞAT  2.KURS;Course
1.MAHKEME  2.KORT;Court
KUZEN;Cousin
KAPLAMAK;Cover
İNEK;Cow
KORKAK;Coward
KIRMAK;Crack
KRAKER;Cracker
KRAMP;Cramp
VİNÇ İLE KALDIRMAK, VİNÇ;Crane
ÇARPIŞMAK (sertçe), ÇARPIŞTIRMAK;Crash
ÇILGIN;Crazy
1.KREMA  2.KREM  3.KİRLİ BEYAZ;Cream
YARATIŞ;Creation
YARATIK;Creature
KREDİ;Credit
SUÇ;Crime
SUÇLU (yasa önünde);Criminal
KRİZ;Crisis
CİBS,KIZARMIŞ KURU PATATES;Crisp
1)İNCE 2)KAŞ;Crisp
KRİTİK;Critical
ELEŞTİRMEK;Criticize
AFRİKA TİMSAHI;Crocodile
ÜRÜN (toprak ürünü);Crop
1.KARŞIDAN KARŞIYA GEÇMEK,ÇAPRAZLAMA GİTMEK 2.HAÇ;Cross
GEÇİT;Crossing
KAVŞAK;Crossroads
ÇAPRAZ BULMACA;Crossword
1)KARGA 2)HOROZ ÖTÜŞÜ;Crow
KALABALIK;Crowd
TAÇ;Crown
EN ÖNEMLİ AN (Karar iρin vb.);Crucial
PETROL  ( Crude oil=Ham petrol);Crude
ZALİM;Cruel
1.DENİZ GEZİSİ  2.KITALARARASI SİLAH;Cruise
KIRMAK (basarak);Crush
BAĞIRMAK, AĞLAMAK;Cry
KÜP;Cube
HIYAR;Cucumber
TOPRAKLA UĞRAŞMAK;Cultivate
KÜLTÜR;Culture
1.FİNCAN  2.KUPA;Cup
İYİLEŞTİRMEK, TEDAVİ, İŞLEM;Cure
MERAK;Curiosity
1.MERAKLI 2.OLAĞANDIŞI;Curious
KIVIRMAK;Curl
1.AKIM 2.CARİ 3.KUR;Current
HAFİF ACILI;Curry
LANET;Curse
PERDE;Curtain
EĞRİ;Curve
YASTIK;Cushion
GELENEK;Custom
ALICI, MÜŞTERİ;Customer
GÜMRÜK;Customs
KESMEK;Cut
BİSİKLET, TUR;Cycle
SİLİNDİR;Cylinder
BABA;Dad
GÜNLÜK;Daily
PAPATYA;Daisy
BARAJ;Dam
ZARAR, ZARAR VERMEK;Damage
NEMLİ;Damp
DANS;Dance
TEHLİKE;Danger
TEHLİKELİ;Dangerous
1.CESARETLİ OLMAK,CÜRET GÖSTERMEK 2.MEYDAN OKUMAK;Dare
1.KARANLIK 2.KOYU 3.SİYAH TENLİ;Dark
SEVGİLİ;Darling
1.FIRLAMAK ANİDEN KOŞMAK  2.'-'işareti;Dash
GÜNÜN TARİHİ;Date
1)HURMA 2)RANDEVU;Date
KIZ ÇOCUK;Daughter
GÜN;Day
ÖLÜ;Dead
MÜHLET,SON TESLİM TARİHİ;Deadline
1)ÇIKMAZ 2)AÇMAZ;Deadlock
SAĞIR;Deaf
ALIP SATMAK (ticari), İŞ YAPMAK;Deal
1.SEVGİLİ, SEVİLEN  2.PAHALI;Dear
ÖLÜM;Death
TARTIŞABİLİNİR;Debatable
TARTIŞMA;Debate
BORÇ;Debt
ÇÜRÜMEK,BOZULMAK;Decay
KANDIRMAK;Deceive
ARALIK (ayı);December
DOĞRU,HAKLI,İYİ;Decent
KARAR VERMEK;Decide
KARAR;Decision
AÇIKLAMAK;Declare
AZALTMAK,GERİLEMEK,DÜŞMEK;Decline
DÖŞEMEK, DEKORE ETMEK;Decorate
AZALMAK;Decrease
1.EYLEM  2.TAPU;Deed
DERİN;Deep
GEYİK;Deer
İFA ETMEME,HAZIR BULUNMAMA(Default Payment=Ödememe);Default
KAYBETMEK (oyunda,savaşta,vs.);Defeat
SAVUNMA, DEFANS;Defence
SAVUNMAK;Defend
GECİKTİRME, ERTELEME;Defer
AÇIK (budget deficit=bütçe açığı);Deficit
KESİN, BELİRLİ;Definite
TANIMLAMA;Definition
DERECE;Degree
GECİKTİRMEK, ERTELEMEK;Delay
KASTEN;Deliberately
NAZİK;Delicate
LEZZETLİ;Delicious
HOŞNUTLUK;Delight
HOŞNUT EDİCİ;Delightful
DAĞITMAK, DAĞITIM;Deliver
İSTEK, TALEP, İHTİYAÇ;Demand
YIKMAK, PARÇALAMAK;Demolish
AÇIKÇA GÖSTERMEK, DEMONSTRE ETMEK;Demonstrate
GÖSTERİ;Demonstration
CESARETİNİ KIRMAK, MORAL BOZMAK;Demoralize
DİŞÇİ;Dentist
İNKAR ETMEK, YALANLAMAK;Deny
AYRILMAK;Depart
BÖLÜM,DEPARTMAN;Department
BAĞIMLI OLMAK, İHTİYACI OLMAK;Depend
BAĞIMLI (In dependent:bağımsız);Dependent
DEPOZİT;Deposit
BUNALTMAK;Depress
DERİNLİK;Depth
VEKİLLİK;Deputation
VEKİL;Deputy
TANIMLAMAK, BETİMLEMEK;Describe
1.ÇÖL 2.TERK ETMEK(haksız yere);Desert
HAKKETMEK, LAYIK OLMAK;Deserve
DİZAYN;Design
ARZU;Desire
SIRA,MASA;Desk
ÜMİTSİZLİK;Despair
UMUTSUZ, ÇOK CİDDİ;Desperate
RAĞMEN;Despite
TATLI (yiyecek);Dessert
VARIŞ NOKTASI;Destination
YIKMAK;Destroy
YIKIM;Destruction
AYIRMAK;Detach
AYRINTI, DETAY;Detail
DEDEKTİF;Detective
AZİMLİ;Determined
GELİŞMEK, BÜYÜMEK, RESİM BASMAK;Develop
GELİŞME;Development
ŞEYTAN;Devil
KIRAĞI (nem);Dew
ŞEMA, DİYAGRAM;Diagram
1.GÖSTERGE 2.TELEFON ETMEK;Dial
ÇAP;Diameter
1.ELMAS 2.KARO (kağıt oyunlarında);Diamond
GÜNLÜK, AJANDA;Diary
ZARLAR ( Tavla );Dice
DİKTATÖR;Dictator
SÖZLÜK;Dictionary
ÖLMEK;Die
REJİM, DİYET;Diet
AYIRIM, FARK;Difference
FARKLI;Different
ZOR;Difficult
KAZMAK;Dig
1)HAZM ETMEK2)OLAYI KAVRAMAK 3)ÖZET,ANA FELSEFE,KURA;Digest
KISIK, SÖNÜK;Dim
AKŞAM YEMEĞİ;Dinner
DALDIRMAK;Dip
DİPLOMA;Diploma
DİPLOMAT;Diplomat
1.DİREKT 2.YÖNLENDİRMEK, YOL VERMEK;Direct
YÖN;Direction
DİREKTÖR;Director
REHBER (telefon vb.);Directory
KİR;Dirt
KİRLİ;Dirty
DEZAVANTAJ;Disadvantage
ANLAŞAMAMAK, UYUŞMAMAK;Disagree
GÖZDEN KAYBOLMAK;Disappear
HAYAL KIRIKLIĞINA UĞRAMAK;Disappoint
FELAKET, AFET;Disaster
DİSK;Disc
DİSİPLİN;Discipline
DİSCOKEY;Disc-Jockey
AÇIĞA, MEYDANA ÇIKARMAK, BİLİNMESİNİ SAĞLAMAK;Disclose
DİSKO;Disco
KEŞFETMEK;Discover
TARTIŞMAK;Discuss
HASTALIK;Disease
TİKSİNTİ;Disgust
1.TABAK ÇANAK,BULAŞIK 2.ÖZEL YEMEK;Dish
1)SÜPRİZ 2)ÜZÜNTÜ;Dismay
KORKU, DEHŞET;Dismay
KOVMAK, YOL VERMEK, SAL VERMEK;Dismiss
İTAAT ETMEMEK;Disobey
SEVK ETMEK, YOLLAMAK;Dispatch
YERİNDEN ÇIKARMAK (Kuvvet etkisi ile);Displace
GÖSTERMEK;Display
ATMAK, BIRAKMAK, ORTAYA ÇIKARMAK;Dispose
ANLAŞMAZLIK;Dispute
UZAKLIK;Distance
UZAK;Distant
AÇIK, ÖZEL, FARKLI;Distinct
KÜÇÜK FARKLILIK;Distinction
AYIRT ETME ( bir özelliğinden dolayı );Distinguish
DAĞITMAK;Distribute
BÖLGE (toprak,ülke);District
RAHATSIZ ETMEK;Disturb
DALIŞ;Dive
DALGIÇ;Diver
BÖLMEK, PAYLAŞTIRMAK;Divide
BÖLÜM;Division
BOŞANMAK;Divorce
BAŞ DÖNMESİ;Dizzy
YAPMAK;Do
1.TERSANE(gemi) 2.SANIK İSKEMLESİ 3.DOK;Dock
DOKTOR;Doctor
DOKÜMAN;Document
KÖPEK;Dog
OYUNCAK BEBEK;Doll
EVCİL, EVE AİT, İÇSEL;Domestic
HAKİM OLMA;Dominate
BAĞIŞ YAPMAK;Donate
BAĞIŞ;Donation
EŞEK;Donkey
BAĞIŞ YAPAN,İYİLİK SEVER (organ, okul bağışı vb.);Donor
KÖTÜ KADER,KÖR TALİH;Doom
AHİRET GÜNÜ;Doomsday
KAPI;Door
BİR SEFERDE ALINAN İLAÇ MİKTARI;Dose
ÇİFT;Double
1.ŞÜPHE 2.EMİN OLMAMAK;Doubt
AŞAĞISI;Down
PEŞİN (Ödeme);Down Payment
UYUKLAMAK, HAFİF UYKU;Doze
DÜZİNE;Dozen
1)SURET, MÜSVEDDE 2)BANKA ÇEKİ, ÖDEME EMRİ;Draft
SÜRÜKLEMEK;Drag
EJDERHA;Dragon
LAĞIM, SU YOLU;Drain
DRAM;Drama
HAVA AKIMI, CERYAN;Draught
DAMA OYUNU;Draughts
1.ÇİZMEK (resim) 2.ÇEKMEK (çekmece);Draw
ÇEKMECE, GÖZ;Drawer
BOĞULMAK;Drawn
KORKUNÇ, KÖTÜ;Dreadful
ÇOK;Dreadfully
DÜŞ, HAYAL, RÜYA, RÜYA GÖRMEK;Dream
1.GİYSİ  2.GİYİNMEK;Dress
1.DELMEK  2.(tekrar tekrar) ÖĞRETMEK;Drill
İÇMEK;Drink
ARABA KULLANMAK, SÜRMEK;Drive
1.DÜŞÜRMEK, DÜŞMEK, BIRAKMAK  2.DAMLA;Drop
İLAÇ, UYUŞTURUCU;Drug
UYUŞTURUCU MADDE,İLAÇ;Drug
1)DAVUL 2)MAKARA 3)VARİL, BİDON;Drum
SARHOŞ;Drunk
1.KURU 2.KURUMAK;Dry
1)ÖRDEK 2)BAŞINI EĞMEK;Duck
KÜÇÜK ÖRDEK;Duckling
KADAR, VADE( borç );Due
DÜELLO;Duel
1.APTAL 2.KAPALI,SIKICI;Dull
TOZ;Dust
ÇÖP TENEKESİ;Dustbin
1.GÖREV  2.GÜMRÜK VERGİSİ;Duty
BOYA, BOYAMAK (Saç,kağıt vb.);Dye
DİNAMİT;Dynamite
DİNAMO;Dynamo
HANEDANLIK;Dynasty
ÖRNEĞİN (kısaltılmışı);E.G.
HER, HER BİRİ;Each
İSTEKLİ;Eager
KARTAL;Eagle
KULAK;Ear
ERKEN;Early
PARA KAZANMAK;Earn
CİDDİ;Earnest
1.DÜNYA  2.TOPRAK  3.TOPRAK PARÇASI;Earth
DEPREM;Earthquake
KOLAYLIK;Ease
DOĞU;East
KOLAY;Easy
YEMEK YEMEK;Eat
EKO, AKİS;Echo
EKONOMİK;Economical
KENAR;Edge
EDİTÖR;Editor
EĞİTİM;Educate
YILAN BALIĞI;Eel
ETKİ;Effect
ETKİN, İYİ ÇALIŞAN;Efficient
EFOR;Effort
YUMURTA;Egg
YA.....YA.....;Either.....Or....
ZAMANIN GEÇMESİ (3 days have elapsed);Elapse
ELASTİK;Elastic
DİRSEK;Elbow
YAŞLI (daha yaşlı);Elder
SEÇMEK;Elect
SEÇİM;Election
ELEKTRİK;Electricity
ŞIK;Elegant
TEMEL, BAŞLANGIÇ İÇİN;Elementary
FİL;Elephant
DAHA, BAŞKA;Else
BAŞKA BİR YER;Elsewhere
1)GEMİ YADA UÇAKLA GİTMEK 2)BİRŞEY YAPMAYA BAŞLAMAK;Embark
1)SIKINTI 2)UTANMAK;Embarrassment
BÜYÜKELÇİLİK;Embassy
SARILMAK;Embrace
ÇIKMAK;Emerge
ACİL DURUM;Emergency
GÖÇMEN (kendi ülkesinden göçen);Emigrate
KUVVETLİ DUYGU;Emotion
ÖNEMLİ,ŞİDDETLİ VURGU;Emphasis
ÜZERİNDE DURMAK;Emphasize
KESİNLİKLE,MUTLAK,KESİN(Emphatic victory=Kesin Zafer;Emphatic
İMPARATORLUK;Empire
ÇALIŞTIRMAK (parayla adam çalıştırmak);Employ
ÇALIŞTIRILAN ADAM;Employee
İŞVEREN;Employer
İŞ;Employment
BOŞ;Empty
KAPATMAK, ETRAFINI KAPATMAK;Enclose
CESARETLENDİRMEK;Encourage
SON, BİTİRMEK;End
TASTİK,ONAY,CIRO;Endorsement
DÜŞMAN;Enemy
ENERJİ;Energy
1.NİŞANLAMAK  2.İŞ VERMEK;Engage
MAKİNE;Engine
EĞLENMEK;Enjoy
KOCAMAN, İRİ;Enormous
YETER;Enough
GİRMEK;Enter
GİRİŞİM;Enterprise
AĞIRLAMAK (konukları);Entertain
EĞLENCE;Entertainment
YETKİ VERMEK, HAK VERMEK;Entitle
GİRİŞ;Entrance
ZARF;Envelope
MEZAR TAŞI YAZISI;Epitaph
EŞİT;Equal
EŞİTLİK;Equality
EŞİTLEMEK;Equalize
DONATMAK;Equip
TESİSAT,DONANIM;Equipment
KALDIRMAK;Erect
HATA;Error
YÜRÜYEN MERDİVEN;Escalator
KAÇMAK;Escape
KONVOY,REFAKAT;Escort
ÖZEL, ÖNEMLİ;Especial
TEMEL, ÇOK ÖNEMLİ;Essential
KURMAK ,İNŞA ETMEK;Establish
1) STEYŞIN ARABA 2) MAL, MÜLK, ARSA;Estate
TAHMİN ETMEK (hesaplayarak);Estimate
1)BOŞALTMA,TAHLİYE ETMEK 2)TEHLİKEDEN UZAKLAŞTIRMAK;Evacuate
1.HATTA 2.ÇİFT,BERABERE,DÜZGÜN;Even
AKŞAM;Evening
OLAY;Event
SONUNDA, NİHAİ;Eventually
HERHANGİ BİR ZAMAN;Ever
HER;Every
DELİL;Evidence
KÖTÜ;Evil
EVRİM;Evolution
SABIK, ESKİ (ex-wife, ex-president, ex-gırl friend);Ex
TAM;Exact
KESİN OLARAK;Exactly
ABARTMAK;Exaggerate
İNCELEMEK, SINAV VERMEK;Examine
ÖRNEK;Example
AŞIRI;Exceed
ÇOK İYİ;Excellent
DIŞINDA, HARİÇ;Except
İSTİSNA;Exception
DEĞİŞ TOKUŞ;Exchange
HEYECANLANDIRMAK;Excite
BAĞIRMAK;Exclaim
DIŞLAMAK;Exclude
UMUMA AÇIK OLMAYAN, BAŞKALARIYLA PAYLAŞILMAYAN;Exclusive
1.AFFETMEK  2.MUAF TUTMAK 3.ÖZÜR, MAZERET;Excuse
YAPMAK, YERİNE GETİRMEK, İNFAZ ETMEK, İDAM ETMEK;Execute
EGZERSİZ;Exercise
1)YORULMA,BİTME 2)EGZOS;Exhaust
TEŞHİR ETMEK, GÖSTERMEK;Exhibit
SERGİ;Exhibition
OLUŞ, VAR OLMAK;Exist
ÇIKIŞ, ÇIKMAK;Exit
1)BÜYÜMEK,GENİŞLEMEK2)DAHA SAMİMİ VE KONUŞKAN OLMAK;Expand
1) GENİŞLEME, BÜYÜME 2) GENİŞLEYEN KISIM, EK;Expansion
UMMAK,BEKLEMEK;Expect
MASRAF;Expense
PAHALI;Expensive
TECRÜBE;Experience
DENEY;Experiment
BİLİRKİŞİ, UZMAN, EKSPER;Expert
SÜRENİN DOLMASI;Expire
AÇIKLAMAK;Explain
AÇIKLAMA;Explanation
PATLAMAK (bomba patlaması);Explode
ARAŞTIRMAK (bir yeri);Explore
PATLAYICI MADDE;Explosive
İHRAÇ MALI, İHRACAT;Export
İFADE ETMEK;Express
İFADE;Expression
GENİŞLETMEK, BÜYÜTMEK;Extend
GENİŞLETME, BÜYÜTME;Extension
BOYUT, BÜYÜKLÜK;Extent
IŞIĞI VEYA ATEŞİ SÖNDÜRMEK;Extinguish
FAZLA, EKSTRA;Extra
ÇEKİP ÇIKARTMAK;Extract
OLAĞANDIŞI;Extraordinary
SON DERECE, AŞIRI;Extreme
GÖZ;Eye
KAŞ;Eyebrow
KİRPİK;Eyelash
GÖZ KAPAĞI;Eyelid
MASAL, EFSANE;Fable
HARİKA, İNANILMAZ;Fabulous
1.YÜZ, SURAT 2.KARŞISINA ÇIKMAK, BAŞINA GELMEK;Face
GERÇEK;Fact
FABRİKA;Factory
SOLMAK;Fade
BAŞARISIZ OLMAK;Fail
BAŞARISIZLIK,ARIZA,YETERSİZLİK(crop or heart faılure;Failure
1.SOLGUN,ZAYIF 2.BAYILMAK;Faint
1.DÜRÜST,ADİL 2.OLDUKÇA İYİ 3.PANAYIR 4.FUAR;Fair
1.DÜRÜSTÇE 2.EPEYCE;Fairly
1.İNANÇ  2.GÜVENMEK;Faith
GÜVENİLİR, SADIK;Faithful
TAKLİT, SAHTE;Fake
1.DÜŞMEK  2.SONBAHAR (AmE);Fall
1.YANLIŞ, HATALI 2.SAHTE;False
ŞÖHRET, ÜN;Fame
TANIDIK, BİLDİK;Familiar
AİLE, FAMİLYA;Family
ÜNLÜ;Famous
1)HAVA HAREKETİ 2)TARAFTAR;Fan
FANATİK;Fanatic
1)HAYAL KURMA 2)HOŞ ZEVKLİ 3)FANTAZİ;Fancy
HARİKA, OLAĞANDIŞI;Fantastic
UZAK;Far
ÜCRET (tren,vapur vb. için);Fare
ÇİFTLİK;Farm
DAHA UZAK;Farther
MODA;Fashion
HIZLI;Fast
BAĞLAMAK;Fasten
1.ŞİŞMAN 2.YAĞ (vücut et yağı);Fat
KADER;Fate
BABA;Father
KUSUR;Fault
KUSURSUZ;Faultless
KUSURLU;Faulty
LEHİNDE, TARAF TUTMAK;Favour
İYİ, YARDIMCI;Favourable
EN SEVİLEN, FAVORİ;Favourite
KORKU;Fear
KORKUTUCU;Fearful
TÜY (kuş tüyü);Feather
ÖZELLİK;Feature
ŞUBAT;February
BIKMAK (I'm fed up:Bıktım);Fed Up
FEDERAL, FEDERE, GRUP İÇİNDE BİRLEŞMİŞ;Federal
HARÇ, ÜCRET (okul, avukat, doktor v.b);Fee
BESLEMEK;Feed
HİSSETMEK;Feel
ARKADAŞ (kendisine benzeyen), ADAM;Fellow
DİŞİ;Female
ÇİT;Fence
FERİBOT, ARABA VAPURU;Ferry
1)GÜBRE 2)ÜRETKEN;Fertile
1)GÜBRELEME 2)DÖLLENME (Bees fertilize the flowers);Fertilize
FESTİVAL;Festival
GİDİP GETİRMEK;Fetch
ATEŞ (vücut);Fever
AZ, BİR KAÇ;Few
NİŞANLI;Fiance
KURGU (roman);Fiction
ALAN;Field
1)İNCİR 2)ÇOK ÖNEMSİZ KONU;Fig
KAVGA, KAVGA ETMEK;Fight
1.SAYI 2.ŞEKİL, VÜCUT;Figure
1.DOSYA 2.TÖRPÜ 3.SIRA;File
DOLDURMAK;Fill
FİLM;Film
SON;Final
SONUNDA;Finally
FİNANS;Finance
BULMAK;Find
1.İYİ, İNCE, KÜÇÜK  2.PARA CEZASI;Fine
PARMAK;Finger
BİTİM, BİTMEK;Finish
1.YANGIN, ATEŞ ETMEK, ATEŞ 2.İŞTEN KOVMAK;Fire
İTFAİYE;Fire-Brigade
1.SERT 2.FİRMA;Firm
BİRİNCİ, İLK;First
DEVLETİN,PARA,VERGİ,BORÇ İLE İLİŞKİLİ (Fiscal year);Fiscal
BALIK;Fish
YUMRUK;Fist
1.UYMAK, UYGUN  2.ANİ HASTALIK;Fit
YAPIŞTIRMAK, TAMİR ETMEK, SABİT;Fix
BAYRAK;Flag
TANE (snowflake : kar tanesi);Flake
ALEV;Flame
FLAŞ;Flash
1.DÜZ  2.DAİRE (apartman katı);Flat
TAT;Flavour
PİRE;Flea
KAÇMAK;Flee
FİLO (gemi vb.);Fleet
ET (derinin altındaki);Flesh
UÇUŞ;Flight
1) YÜZME PALETİ, 2) YÜZGEÇ;Flipper
YÜZMEK, BATMAMAK (mantar);Float
SÜRÜ;Flock
SEL;Flood
YAPININ TABANI, KAT;Floor
ÇİÇEKÇİ, ÇİÇEK YETİŞTİREN KİMSE;Florist
UN;Flour
ÇİÇEK;Flower
AKICI;Fluent
1.UÇMAK  2.SİNEK;Fly
KÖPÜK;Foam
SÜNGER;Foam Rubber
SİS;Fog
KATLAMAK;Fold
HALK;Folk
İZLEMEK, TAKİP ETMEK;Follow
HOŞLANMAK, MEMNUN OLMAK;Fond
YİYECEK, BESİN;Food
1.APTAL  2.APTALCA DAVRANMAK  3.KANDIRMAK;Fool
APTALCA;Foolish
AYAK;Foot
FUTBOL;Football
AYAK İZİ;Footprint
İÇİN;For
YASAKLAMAK;Forbid
ZORLAMAK, ZOR, FORS;Force
TAHMİN;Forecast
ALIN;Forehead
YABANCI (ülke veya ırk);Foreign
USTABAŞI, FORMEN;Foreman
ORMAN;Forest
DEVAMLI OLARAK;Forever
1)SAHTESİNİ YAPMAK 2)DEMİR METALE ŞEKİL VERMEK;Forge
ÜÇKAĞITÇI,TAKLİTÇİ;Forger
UNUTMAK;Forget
BAĞIŞLAMAK, AFFETMEK;Forgive
ÇATAL;Fork
ŞEKİL, ŞEKİLLENDİRMEK, FORM;Form
RESMİ, CİDDİ;Formal
ÖNCEKİ ZAMAN;Former
DERHAL, HEMEN;Forthwith
İKİ HAFTA, ONDÖRT GÜN;Fortnight
1.SERVET  2.ALIN YAZISI 3.TALİH;Fortune
İLERİ;Forward
PİS, KİRLİ;Foul
İNŞA ETMEK VEYA BAŞLAMAK;Found
1.TEMEL 2.VAKIF;Foundation
FISKİYE;Fountain
DOLMA KALEM;Fountain-Pen
TİLKİ;Fox
KOLAY KIRILABİR;Fragile
ÇERÇEVE;Frame
AÇIK SÖZLÜ, SAMİMİ;Frank
ÖZGÜR, RAHAT, SERBEST, SERBEST BIRAKMAK;Free
BEDAVA, ÜCRETSİZ;Free
ÖZGÜRLÜK;Freedom
DONMAK;Freeze
HAMULE, NAVLUN;Freight
TAZE;Fresh
CUMA;Friday
BUZDOLABI;Fridge
ARKADAŞ;Friend
DOSTÇA;Friendly
KORKU;Fright
KORKUTMAK;Frighten
KURBAĞA;Frog
(...DEN,  ...DAN) EKİ;From
ÖN;Front
SINIR;Frontier
KAŞINI ÇATMAK,MEMNUN OLMAMAK;Frown
MEYVE;Fruit
KIZARTMAK;Fry
KANUN KAÇAĞI;Fugitive
DOLU, TAMAMEN;Full
NOKTA;Full Stop
EĞLENCE;Fun
FON, KULLANABİLİNİR MALİ KAYNAK;Fund
TEMEL, ÖNEM, ÇOK GEREKLİ;Fundamental
CENAZE;Funeral
1.KOMİK  2.GARİP;Funny
KÜRK;Fur
DÖŞEMEK;Furnish
DAHA;Further
YANINDA, AYRICA, ÜSTELİK (=moreover);Furthermore
SİGORTA (elektrik vb.);Fuse
TELAŞ, TELAŞLANMAK;Fuss
GELECEK;Future
KAZANMAK;Gain
GALERİ;Gallery
KUMAR OYNAMAK, KUMAR;Gamble
OYUN;Game
ÇETE;Gang
HAPİSHANE;Gaol
BOŞLUK, FARK;Gap
GARAJ;Garage
BAHÇE;Garden
SARIMSAK;Garlic
GAZ;Gas
BAHÇE KAPISI;Gate
1.TOPARLAMAK, TOPLANMAK 2.ANLAMAK;Gather
1)MUTLU, PARLAK, ÇOK RENKLİ 2)HOMO;Gay
VİTES;Gear
GENERAL;General
GENEL;General
GENELLİKLE;Generally
CÖMERT;Generous
DAHİ;Genius
NAZİK;Gentle
CENTİLMEN;Gentleman
MİKROP;Germ
1.ALMAK 2.ELDE ETMEK 3.ANLAMAK;Get
HAYALET,HORTLAK;Ghost
1.ARMAĞAN  2.YETENEK;Gift
JİGOLO;Gigolo
ZENCEFİL, HAFİF KAHVERENGİ;Ginger
ÇİNGENE;Gipsy
KIZ;Girl
VERMEK;Give
MEMNUN;Glad
ZEVKLE;Gladly
CAM, BARDAK;Glass
KÜRE, DÜNYA;Globe
PARLAK, ONURLU (parlak tarih);Glorious
ONUR, HEYECAN, GÜZELLİK;Glory
ELDİVEN;Glove
YAPIŞTIRICI;Glue
GİTMEK;Go
HEDEF, GAYE, GOL;Goal
KEÇİ;Goat
TANRI;God
ALTIN;Gold
ALTINDAN;Golden
AKVARYUM BALIĞI;Goldfish
1.İYİ 2.DEVAMLI ( uzun periyot );Good
İYİ GÖRÜNÜMLÜ, YAKIŞIKLI;Good-Looking
KAZ;Goose
HAYRET!...;Gosh
DEDİKODU YAPMAK, DEDİKODU;Gossip
YÖNETMEK, HÜKMETMEK;Govern
HÜKÜMET;Government
MEZUN (üniversite mezunu);Graduate
TANECİK ( kum,buğday v.s.);Grain
BÜYÜK, ZEVKLİ;Grand
ÜZÜM;Grape
GREYFURT;Grapefruit
SIKICA TUTMAK;Grasp
1.OT, ÇİM 2.MUHBİR ,İSPİYONCU;Grass
MİNNETTAR;Grateful
1.MEZAR 2.KÖTÜ, ÖNEMLİ;Grave
MEZARTAŞI;Gravestone
MEZARLIK, MEZAR;Graveyard
BÜYÜK, ÇOK, ÇOK İYİ;Great
1. YEŞİL 2.TECRÜBESİZ ,TOY;Green
MANAV;Greengrocer
KUTLAMA;Greeting
GRİ;Grey
GRİL;Grill
SIKICA TUTMAK;Grip
BAKKAL;Grocer
DAMAT;Groom
YER, TOPRAK;Ground
GURUP, TOPLULUK;Group
BÜYÜMEK, YETİŞMEK;Grow
SIZLANMAK,YAKINMAK;Grumble
GARANTİ;Guarantee
KORUMAK;Guard
GERİLLA;Guerrilla
TAHMİN ETMEK;Guess
KONUK;Guest
REHBER, REHBERLİK ETMEK;Guide
yl  GÜDÜMLÜ ROKET;Guided Missile
SUÇ, KABAHAT;Guilt
GİTAR;Guitar
KÖRFEZ;Gulf
1.YAPIŞKAN 2.DİŞ ETİ;Gum
SİLAH;Gun
ADAM;Guy
ALIŞKANLIK;Habit
DOĞAL YUVA (hayvan, bitki vb. yaşadığı yer);Habitat
DOLU (yağış);Hail
1.SAÇ  2.HAYVAN TÜYÜ;Hair
KUVAFÖR, BERBER;Hairdresser
SAÇ KURUTMA MAKİNASI;Hairdryer
YARIM;Half
HOL;Hall
DUR;Halt
DOMUZ AYAĞINDAKİ ET;Ham
ÇEKİÇ, ÇEKİÇLEMEK;Hammer
EL;Hand
EL BOMBASI;Hand Grenade
EL ÇANTASI (kadınların);Handbag
SAKAT;Handicap
MENDİL;Handkerchief
1.TUTACAK 2.ELİNDEN GELMEK, YAPABİLMEK 3.ELLEMEK;Handle
YAKIŞIKLI;Handsome
EL YAZISI;Handwriting
ASMAK;Hang
BEKLE;Hang On
HANGAR;Hangar
OLMAK;Happen
MUTLU;Happy
LİMAN;Harbour
SERT, ZOR, BELALI, KÖTÜ;Hard
ZORLA, İYİ DEĞİL;Hardly
ZARAR,KÖTÜLÜK;Harm
ZARARLI;Harmful
HASAT;Harvest
HIZ, ACELE;Haste
ŞAPKA;Hat
NEFRET;Hate
SAHİP OLMAK;Have
